SA4_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
601,586,4,0,9,587,96,0,690,7984,1406,174,41,9605,102,41,142,9750,528,9,10286,12525,2777,228,88,15625,113,43,160,15775,500,10,16294,1330,258,241,13,1844,9,0,12,1862,67,3,1923,111,33,4,106,257,3,3,5,262,20,8,291,21952,4476,653,247,27327,234,92,321,27646,1118,31,28797,177,43,0,6,227,40,4,41,272,38,0,313,338,79,3,10,433,19,16,34,470,25,0,497,517,119,3,14,661,61,22,84,744,66,0,810,22466,4598,660,265,27989,291,111,405,28392,1188,32,29608,3822,962,141,111,5035,183,46,230,5268,1171,16,6456,30,7,0,26,60,0,0,0,61,3,53,119,26318,5563,796,403,33081,478,162,643,33716,2355,103,36180
602,190,0,3,6,194,30,0,224,4091,676,79,29,4873,66,32,95,4970,296,10,5274,7375,1220,137,74,8803,103,18,122,8919,354,8,9286,726,126,95,8,956,12,5,16,973,33,0,1009,73,11,0,70,158,0,0,3,162,14,7,182,12259,2031,315,179,14791,178,61,241,15025,694,34,15753,62,23,0,0,93,31,0,31,122,33,0,153,111,51,5,3,169,23,16,40,202,25,0,230,172,79,5,3,256,54,16,73,327,56,0,386,12436,2112,326,183,15045,236,77,310,15356,753,34,16141,2914,676,110,86,3783,145,44,187,3972,914,8,4886,14,4,0,9,20,0,0,0,20,0,44,65,15358,2789,436,270,18853,380,120,499,19353,1663,77,21093
603,36,0,0,0,42,7,0,49,895,172,33,17,1119,9,8,20,1136,79,0,1223,1673,463,52,23,2212,20,7,31,2240,180,0,2423,181,36,27,0,241,6,0,6,246,14,0,258,13,3,0,48,65,0,0,0,65,12,0,73,2756,675,118,84,3642,34,18,48,3690,283,4,3975,21,4,0,0,27,6,7,13,36,5,0,40,41,4,3,9,57,0,4,4,61,12,0,73,60,16,3,9,84,6,7,18,99,14,0,116,2815,694,119,90,3723,36,31,68,3791,295,4,4086,753,182,33,35,1005,23,18,40,1044,293,0,1334,7,0,0,0,7,0,0,0,7,0,20,31,3578,876,157,130,4736,61,46,102,4841,591,23,5456
604,120,0,0,0,119,13,0,134,2911,451,102,27,3496,44,38,85,3580,229,4,3815,5352,753,176,64,6345,65,17,86,6431,291,10,6735,538,73,90,7,705,5,0,5,711,27,0,742,52,0,0,92,137,0,5,0,146,3,5,156,8850,1280,367,186,10689,121,63,182,10867,555,19,11447,72,20,11,3,106,22,3,22,129,10,0,140,142,19,6,4,165,21,7,28,192,22,0,213,211,43,16,4,272,44,8,52,320,35,0,356,9062,1324,380,189,10955,162,73,236,11192,584,19,11795,1990,498,122,68,2678,100,41,140,2820,763,13,3592,20,4,0,6,30,0,0,0,29,0,30,63,11069,1822,503,264,13661,262,115,371,14035,1353,61,15449
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,224,3,3,3,230,24,6,254,8474,831,211,49,9562,126,23,153,9712,360,12,10087,4882,824,157,37,5902,45,7,56,5957,203,6,6165,906,137,144,13,1201,13,0,13,1207,37,0,1250,87,9,0,102,196,3,0,3,191,20,10,222,14342,1807,506,196,16846,192,34,221,17072,614,32,17724,129,17,5,3,151,46,0,46,201,9,0,209,202,52,0,4,261,11,22,32,292,11,0,302,330,71,9,3,412,64,22,81,491,19,0,514,14675,1873,517,202,17261,253,49,306,17566,633,32,18233,2702,416,128,88,3335,82,14,100,3432,573,10,4014,32,0,0,25,59,8,0,8,72,0,60,131,17405,2289,643,312,20654,347,63,415,21063,1213,105,22379
702,17,0,0,0,21,10,0,30,3012,346,60,15,3435,55,21,78,3514,275,10,3798,1673,506,34,45,2249,75,25,98,2348,305,18,2667,289,51,106,0,445,6,0,6,455,31,0,489,45,3,0,94,143,14,0,14,155,40,17,216,5021,902,193,157,6275,149,46,195,6472,653,42,7169,64,45,5,5,117,276,15,289,405,65,0,476,48,21,0,0,68,30,55,84,150,49,0,202,117,67,5,5,186,305,64,374,559,110,3,674,5139,969,194,155,6461,457,108,570,7034,767,41,7845,1310,502,59,84,1954,315,79,389,2346,3636,56,6043,25,7,0,7,33,4,0,4,38,10,230,275,6467,1474,257,246,8451,776,189,967,9415,4419,327,14163
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,1682,27,15,35,1724,244,5,1966,30481,3385,601,113,34576,329,98,421,35003,1339,35,36374,22073,3434,388,116,26008,196,63,257,26269,678,37,26979,3777,589,647,49,5059,16,0,21,5079,130,10,5222,213,37,14,213,475,0,0,6,475,19,44,543,56545,7442,1646,478,66117,541,163,704,66821,2173,127,69122,494,75,18,5,585,62,11,74,660,24,0,689,606,72,13,10,696,38,11,48,740,39,4,783,1102,147,28,9,1281,100,22,119,1403,62,4,1471,57649,7588,1677,491,67399,638,185,825,68226,2239,131,70591,7860,1359,280,144,9640,215,47,263,9902,1270,32,11203,82,17,5,78,182,0,0,0,187,12,116,313,65589,8966,1953,714,77226,855,231,1093,78317,3515,273,82107
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,0,0,0,0,0,0,0,0,175,31,10,0,215,0,0,0,214,4,0,219,175,45,5,0,218,0,0,0,218,23,0,247,19,0,7,0,29,0,0,0,29,0,0,29,0,0,0,5,7,0,0,0,7,0,0,7,365,74,18,10,473,0,0,0,474,22,0,504,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,10,10,7,0,0,7,0,0,0,0,0,0,10,10,8,0,0,8,373,74,18,10,476,0,7,7,481,22,0,509,59,25,5,4,88,3,0,3,92,10,0,102,3,0,0,0,3,0,0,0,3,0,9,11,435,100,19,15,571,3,7,11,578,33,11,629
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
